Date,CR,L6,Pike,L5,Kat,L4
30/05/2018,16.45,19.25,14.55,16.3,10,13.2
31/05/2018,16.45,19.25,14.55,16.3,10,13.2
1/06/2018,16.45,19.25,14.55,16.3,10,13.2
2/06/2018,16.45,19.25,14.55,16.3,10,13.2
3/06/2018,16.45,19.25,14.55,16.3,10,13.2
4/06/2018,16.45,19.25,14.55,16.3,10,13.2
5/06/2018,16.45,19.25,14.55,16.3,10,13.2
6/06/2018,16.45,19.25,14.55,16.3,10,13.2
7/06/2018,16.45,19.25,14.55,16.3,10,13.2
8/06/2018,16.45,19.25,14.55,16.3,10,13.2
9/06/2018,16.45,19.25,14.55,16.3,10,13.2
10/06/2018,16.45,19.25,14.55,16.3,10,13.2
11/06/2018,16.45,19.25,14.55,16.3,10,13.2
12/06/2018,16.45,19.25,14.55,16.3,10,13.2
13/06/2018,16.45,19.25,14.55,16.3,10,13.2
14/06/2018,16.45,19.25,14.55,16.3,10,13.2
15/06/2018,16.45,19.25,14.55,16.3,10,13.2
16/06/2018,16.45,19.25,14.55,16.3,10,13.2
17/06/2018,16.45,19.25,14.55,16.3,10,13.2
18/06/2018,16.45,19.25,14.55,16.3,10,13.2
19/06/2018,16.45,19.25,14.55,16.3,10,13.2
20/06/2018,16.45,19.25,14.55,16.3,10,13.2
21/06/2018,16.45,19.25,14.55,16.3,10,13.2
22/06/2018,16.45,19.25,14.55,16.3,10,13.2
23/06/2018,16.45,19.25,14.55,16.3,10,13.2
24/06/2018,16.45,19.25,14.55,16.3,10,13.2
25/06/2018,16.45,19.25,14.55,16.3,10,13.2
26/06/2018,16.45,19.25,14.55,16.3,10,13.2
27/06/2018,16.45,19.25,14.55,16.3,10,13.2
28/06/2018,16.45,19.25,14.55,16.3,10,13.2
29/06/2018,16.45,19.25,14.55,16.3,10,13.2
30/06/2018,16.45,19.25,14.55,16.3,10,13.2
,,,,,10,13.2
